trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
706,False,"{'a': 0.5, 'e': 2.38236909993343e-07}",25,18,13.067820947487737,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
707,False,"{'a': 0.5, 'e': 2.2661796142085892e-07}",25,14,-20.237057483045493,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
708,False,"{'a': 0.5, 'e': 2.155656754063829e-07}",25,15,22.32729594589593,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
709,False,"{'a': 0.5, 'e': 2.0505241551469094e-07}",25,15,17.528750549514783,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
710,False,"{'a': 0.5, 'e': 1.9505189315314218e-07}",20,11,17.27274635259715,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
711,False,"{'a': 0.5, 'e': 1.8553910183683314e-07}",25,15,18.255636041940942,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
712,False,"{'a': 0.5, 'e': 1.7649025465966366e-07}",20,13,12.897251009216925,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
713,False,"{'a': 0.5, 'e': 1.678827248149523e-07}",25,10,25.877590751148148,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
714,False,"{'a': 0.5, 'e': 1.5969498901687926e-07}",30,0,45.716169515563394,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
715,False,"{'a': 0.5, 'e': 1.5190657368128575e-07}",20,6,26.684776540971203,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
716,False,"{'a': 0.5, 'e': 1.4449800373124837e-07}",30,12,33.632743333067666,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
717,False,"{'a': 0.5, 'e': 1.3745075389942726e-07}",20,15,10.565989985839161,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
718,False,"{'a': 0.5, 'e': 1.307472024054123e-07}",30,4,39.835589846457204,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
719,False,"{'a': 0.5, 'e': 1.2437058689224217e-07}",25,11,27.77724812210981,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
720,False,"{'a': 0.5, 'e': 1.1830496251191723e-07}",30,22,19.992768061063785,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
721,False,"{'a': 0.5, 'e': 1.12535162055095e-07}",30,16,29.057547334582672,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
722,False,"{'a': 0.5, 'e': 1.0704675802527846e-07}",30,8,32.606961612039775,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
723,False,"{'a': 0.5, 'e': 1.0182602656265912e-07}",25,12,24.09709847119978,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
724,False,"{'a': 0.5, 'e': 9.68599131274103e-08}",20,11,19.189485948075703,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
725,False,"{'a': 0.5, 'e': 9.21359998566181e-08}",20,10,16.010805004858383,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
726,False,"{'a': 0.5, 'e': 8.764247451323235e-08}",20,0,29.185559446028044,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
727,False,"{'a': 0.5, 'e': 8.336810094938689e-08}",20,8,24.618854201566187,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
728,False,"{'a': 0.5, 'e': 7.930219101023825e-08}",20,13,13.892570109249437,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
729,False,"{'a': 0.5, 'e': 7.543457780806663e-08}",20,8,22.98315923064636,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
730,False,"{'a': 0.5, 'e': 7.175559029980944e-08}",20,5,21.251478307455972,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
731,False,"{'a': 0.5, 'e': 6.825602910446286e-08}",20,10,20.03148794026542,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
732,False,"{'a': 0.5, 'e': 6.492714349987721e-08}",25,15,20.621330242142506,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
733,False,"{'a': 0.5, 'e': 6.17606095414305e-08}",30,7,37.7908724852364,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
734,False,"{'a': 0.5, 'e': 5.874850924786483e-08}",30,10,-5.94967086275465,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
735,False,"{'a': 0.5, 'e': 5.588331080223807e-08}",20,6,27.66636223882546,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
736,False,"{'a': 0.5, 'e': 5.3157849718487075e-08}",25,9,33.63796511338735,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
737,False,"{'a': 0.5, 'e': 5.0565310926504413e-08}",35,23,21.710334122398436,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
738,False,"{'a': 0.5, 'e': 4.809921173093585e-08}",25,19,8.70792846055971,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
739,False,"{'a': 0.5, 'e': 4.575338560108573e-08}",35,17,39.53090472503019,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
740,False,"{'a': 0.5, 'e': 4.352196675139574e-08}",25,20,8.215407812386385,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
741,False,"{'a': 0.5, 'e': 4.1399375473943306e-08}",20,10,18.716625388621843,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
742,False,"{'a': 0.5, 'e': 3.938030418627968e-08}",20,12,16.641465025416238,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
743,False,"{'a': 0.5, 'e': 3.745970415972296e-08}",20,11,19.11597915580251,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
744,False,"{'a': 0.5, 'e': 3.563277289491901e-08}",30,20,19.881801817223213,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
745,False,"{'a': 0.5, 'e': 3.38949421131021e-08}",25,11,14.218152244126891,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
